accession	description	scientific_name	base_count	last_updated
AY279328	Drosophila mimetica alcohol dehydrogenase (Adh) and alcohol dehydrogenase related (Adhr) genes, complete cds.	Drosophila mimetica	2698	2006-11-14
X04672	Drosophila sechellia gene for alcohol dehydrogenase	Drosophila sechellia	4582	2006-11-14
M19263	D.simulans alcohol dehydrogenase gene, complete cds.	Drosophila simulans	4607	2006-11-14
U07641	Drosophila melanogaster alcohol dehydrogenase mRNA, complete cds.	Drosophila melanogaster	1140	2005-04-17
X78402	D.melanogaster DNA alcohol dehydrogenase null activity allele	Drosophila melanogaster	44	2006-11-14
HQ631476	Drosophila leontia alcohol dehydrogenase (adh) gene, partial cds.	Drosophila leontia	290	2012-01-02
X98338	D.melanogaster mRNA for alcohol dehydrogenase related protein	Drosophila melanogaster	2071	2005-04-18
GQ376036	Drosophila serrata alcohol dehydrogenase (ADH) gene, partial cds.	Drosophila serrata	410	2009-08-03
GQ376032	Drosophila birchii alcohol dehydrogenase (ADH) gene, partial cds.	Drosophila birchii	410	2009-08-03
KM016476	Drosophila simulans isolate KY34 alcohol dehydrogenase-related gene, intron.	Drosophila simulans	478	2014-09-24
KM016473	Drosophila simulans isolate KY02 alcohol dehydrogenase-related gene, intron.	Drosophila simulans	480	2014-09-24
AY279322	Drosophila yakuba alcohol dehydrogenase related (Adhr) gene, complete cds.	Drosophila yakuba	1741	2006-11-14
KM016468	Drosophila simulans isolate KY33 alcohol dehydrogenase-related gene, intron.	Drosophila simulans	476	2014-09-24
AY279324	Drosophila erecta alcohol dehydrogenase related (Adhr) gene, partial cds.	Drosophila erecta	976	2006-11-14
AB154554	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh13.	Drosophila kikkawai	686	2005-04-14
AF201434	Drosophila simulans isolate C167 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	480	2006-11-14
AF201448	Drosophila simulans isolate MD221 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	479	2006-11-14
AF284474	Drosophila mauritiana strain 105 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila mauritiana	702	2006-11-14
AF284478	Drosophila mauritiana strain Lig72 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila mauritiana	701	2006-11-14
KX976506	Drosophila yakuba isolate Yakuba_COST_1235_2 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
