"seqid","source","type","start","end","score","strand","phase","attributes","longitud"
"JAJSEB010000012.1","Genbank","gene",134184,135497,".","+",".","ID=gene-LSM04_003106;Name=LSM04_003106;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_003106",1314
"JAJSEB010000012.1","Genbank","mRNA",134184,135497,".","+",".","ID=rna-gnl|WGS:JAJSEB|jg8882.t1;Parent=gene-LSM04_003106;gbkey=mRNA;locus_tag=LSM04_003106;orig_protein_id=gnl|WGS:JAJSEB|jg8882.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8882.t1;product=hypothetical protein",1314
"JAJSEB010000012.1","Genbank","exon",134184,135497,".","+",".","ID=exon-gnl|WGS:JAJSEB|jg8882.t1-1;Parent=rna-gnl|WGS:JAJSEB|jg8882.t1;gbkey=mRNA;locus_tag=LSM04_003106;orig_protein_id=gnl|WGS:JAJSEB|jg8882.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8882.t1;product=hypothetical protein",1314
"JAJSEB010000012.1","Genbank","CDS",134184,135497,".","+","0","ID=cds-KAH9600122.1;Parent=rna-gnl|WGS:JAJSEB|jg8882.t1;Dbxref=NCBI_GP:KAH9600122.1;Name=KAH9600122.1;gbkey=CDS;locus_tag=LSM04_003106;orig_transcript_id=gnl|WGS:JAJSEB|jg8882.t1;product=hypothetical protein;protein_id=KAH9600122.1",1314
"JAJSEB010000012.1","Genbank","gene",135932,136711,".","+",".","ID=gene-LSM04_005606;Name=LSM04_005606;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_005606",780
"JAJSEB010000012.1","Genbank","mRNA",135932,136711,".","+",".","ID=rna-gnl|WGS:JAJSEB|jg8883.t1;Parent=gene-LSM04_005606;gbkey=mRNA;locus_tag=LSM04_005606;orig_protein_id=gnl|WGS:JAJSEB|jg8883.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8883.t1;product=Acyl-CoA-binding protein",780
"JAJSEB010000012.1","Genbank","exon",135932,136711,".","+",".","ID=exon-gnl|WGS:JAJSEB|jg8883.t1-1;Parent=rna-gnl|WGS:JAJSEB|jg8883.t1;gbkey=mRNA;locus_tag=LSM04_005606;orig_protein_id=gnl|WGS:JAJSEB|jg8883.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8883.t1;product=Acyl-CoA-binding protein",780
"JAJSEB010000012.1","Genbank","CDS",135932,136711,".","+","0","ID=cds-KAH9600168.1;Parent=rna-gnl|WGS:JAJSEB|jg8883.t1;Dbxref=NCBI_GP:KAH9600168.1;Name=KAH9600168.1;gbkey=CDS;locus_tag=LSM04_005606;orig_transcript_id=gnl|WGS:JAJSEB|jg8883.t1;product=Acyl-CoA-binding protein;protein_id=KAH9600168.1",780
"JAJSEB010000012.1","Genbank","gene",138522,139553,".","+",".","ID=gene-LSM04_007583;Name=LSM04_007583;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_007583",1032
"JAJSEB010000012.1","Genbank","mRNA",138522,139553,".","+",".","ID=rna-gnl|WGS:JAJSEB|jg8884.t1;Parent=gene-LSM04_007583;gbkey=mRNA;locus_tag=LSM04_007583;orig_protein_id=gnl|WGS:JAJSEB|jg8884.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8884.t1;product=IGP family C-type lectin domain",1032
"JAJSEB010000012.1","Genbank","exon",138522,139553,".","+",".","ID=exon-gnl|WGS:JAJSEB|jg8884.t1-1;Parent=rna-gnl|WGS:JAJSEB|jg8884.t1;gbkey=mRNA;locus_tag=LSM04_007583;orig_protein_id=gnl|WGS:JAJSEB|jg8884.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8884.t1;product=IGP family C-type lectin domain",1032
"JAJSEB010000012.1","Genbank","CDS",138522,139553,".","+","0","ID=cds-KAH9600207.1;Parent=rna-gnl|WGS:JAJSEB|jg8884.t1;Dbxref=NCBI_GP:KAH9600207.1;Name=KAH9600207.1;gbkey=CDS;locus_tag=LSM04_007583;orig_transcript_id=gnl|WGS:JAJSEB|jg8884.t1;product=IGP family C-type lectin domain;protein_id=KAH9600207.1",1032
"JAJSEB010000012.1","Genbank","gene",139599,139802,".","+",".","ID=gene-LSM04_000552;Name=LSM04_000552;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_000552",204
"JAJSEB010000012.1","Genbank","mRNA",139599,139802,".","+",".","ID=rna-gnl|WGS:JAJSEB|jg8885.t1;Parent=gene-LSM04_000552;gbkey=mRNA;locus_tag=LSM04_000552;orig_protein_id=gnl|WGS:JAJSEB|jg8885.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8885.t1;product=hypothetical protein",204
"JAJSEB010000012.1","Genbank","exon",139599,139802,".","+",".","ID=exon-gnl|WGS:JAJSEB|jg8885.t1-1;Parent=rna-gnl|WGS:JAJSEB|jg8885.t1;gbkey=mRNA;locus_tag=LSM04_000552;orig_protein_id=gnl|WGS:JAJSEB|jg8885.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8885.t1;product=hypothetical protein",204
"JAJSEB010000012.1","Genbank","CDS",139599,139802,".","+","0","ID=cds-KAH9600066.1;Parent=rna-gnl|WGS:JAJSEB|jg8885.t1;Dbxref=NCBI_GP:KAH9600066.1;Name=KAH9600066.1;gbkey=CDS;locus_tag=LSM04_000552;orig_transcript_id=gnl|WGS:JAJSEB|jg8885.t1;product=hypothetical protein;protein_id=KAH9600066.1",204
"JAJSEB010000012.1","Genbank","gene",141755,142786,".","+",".","ID=gene-LSM04_001973;Name=LSM04_001973;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_001973",1032
"JAJSEB010000012.1","Genbank","mRNA",141755,142786,".","+",".","ID=rna-gnl|WGS:JAJSEB|jg8886.t1;Parent=gene-LSM04_001973;gbkey=mRNA;locus_tag=LSM04_001973;orig_protein_id=gnl|WGS:JAJSEB|jg8886.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8886.t1;product=IGP family C-type lectin domain",1032
"JAJSEB010000012.1","Genbank","exon",141755,142786,".","+",".","ID=exon-gnl|WGS:JAJSEB|jg8886.t1-1;Parent=rna-gnl|WGS:JAJSEB|jg8886.t1;gbkey=mRNA;locus_tag=LSM04_001973;orig_protein_id=gnl|WGS:JAJSEB|jg8886.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8886.t1;product=IGP family C-type lectin domain",1032
"JAJSEB010000012.1","Genbank","CDS",141755,142786,".","+","0","ID=cds-KAH9600094.1;Parent=rna-gnl|WGS:JAJSEB|jg8886.t1;Dbxref=NCBI_GP:KAH9600094.1;Name=KAH9600094.1;gbkey=CDS;locus_tag=LSM04_001973;orig_transcript_id=gnl|WGS:JAJSEB|jg8886.t1;product=IGP family C-type lectin domain;protein_id=KAH9600094.1",1032
"JAJSEB010000012.1","Genbank","gene",142832,143035,".","+",".","ID=gene-LSM04_006657;Name=LSM04_006657;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_006657",204
"JAJSEB010000012.1","Genbank","mRNA",142832,143035,".","+",".","ID=rna-gnl|WGS:JAJSEB|jg8887.t1;Parent=gene-LSM04_006657;gbkey=mRNA;locus_tag=LSM04_006657;orig_protein_id=gnl|WGS:JAJSEB|jg8887.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8887.t1;product=hypothetical protein",204
"JAJSEB010000012.1","Genbank","exon",142832,143035,".","+",".","ID=exon-gnl|WGS:JAJSEB|jg8887.t1-1;Parent=rna-gnl|WGS:JAJSEB|jg8887.t1;gbkey=mRNA;locus_tag=LSM04_006657;orig_protein_id=gnl|WGS:JAJSEB|jg8887.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8887.t1;product=hypothetical protein",204
"JAJSEB010000012.1","Genbank","CDS",142832,143035,".","+","0","ID=cds-KAH9600185.1;Parent=rna-gnl|WGS:JAJSEB|jg8887.t1;Dbxref=NCBI_GP:KAH9600185.1;Name=KAH9600185.1;gbkey=CDS;locus_tag=LSM04_006657;orig_transcript_id=gnl|WGS:JAJSEB|jg8887.t1;product=hypothetical protein;protein_id=KAH9600185.1",204
"JAJSEB010000012.1","Genbank","gene",144983,146262,".","+",".","ID=gene-LSM04_002627;Name=LSM04_002627;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_002627",1280
"JAJSEB010000012.1","Genbank","mRNA",144983,146262,".","+",".","ID=rna-gnl|WGS:JAJSEB|jg8888.t1;Parent=gene-LSM04_002627;gbkey=mRNA;locus_tag=LSM04_002627;orig_protein_id=gnl|WGS:JAJSEB|jg8888.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8888.t1;product=IGP family C-type lectin domain",1280
"JAJSEB010000012.1","Genbank","exon",144983,145529,".","+",".","ID=exon-gnl|WGS:JAJSEB|jg8888.t1-1;Parent=rna-gnl|WGS:JAJSEB|jg8888.t1;gbkey=mRNA;locus_tag=LSM04_002627;orig_protein_id=gnl|WGS:JAJSEB|jg8888.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8888.t1;product=IGP family C-type lectin domain",547
"JAJSEB010000012.1","Genbank","exon",145592,146262,".","+",".","ID=exon-gnl|WGS:JAJSEB|jg8888.t1-2;Parent=rna-gnl|WGS:JAJSEB|jg8888.t1;gbkey=mRNA;locus_tag=LSM04_002627;orig_protein_id=gnl|WGS:JAJSEB|jg8888.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8888.t1;product=IGP family C-type lectin domain",671
