"seqid","source","type","start","end","score","strand","phase","attributes","longitud"
"JAJSEB010000012.1","Genbank","gene",18,527,".","-",".","ID=gene-LSM04_000567;Name=LSM04_000567;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_000567;partial=true;start_range=.,18",510
"JAJSEB010000012.1","Genbank","gene",785,1078,".","+",".","ID=gene-LSM04_009643;Name=LSM04_009643;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_009643",294
"JAJSEB010000012.1","Genbank","gene",2585,3743,".","-",".","ID=gene-LSM04_008966;Name=LSM04_008966;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_008966",1159
"JAJSEB010000012.1","Genbank","gene",3301,3573,".","+",".","ID=gene-LSM04_006827;Name=LSM04_006827;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_006827",273
"JAJSEB010000012.1","Genbank","gene",6204,7187,".","+",".","ID=gene-LSM04_003726;Name=LSM04_003726;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_003726",984
"JAJSEB010000012.1","Genbank","gene",7436,8347,".","+",".","ID=gene-LSM04_007507;Name=LSM04_007507;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_007507",912
"JAJSEB010000012.1","Genbank","gene",9265,9585,".","+",".","ID=gene-LSM04_002395;Name=LSM04_002395;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_002395",321
"JAJSEB010000012.1","Genbank","gene",9825,11453,".","+",".","ID=gene-LSM04_001402;Name=LSM04_001402;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_001402",1629
"JAJSEB010000012.1","Genbank","gene",11791,25791,".","+",".","ID=gene-LSM04_000264;Name=LSM04_000264;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_000264",14001
"JAJSEB010000012.1","Genbank","gene",26238,31106,".","+",".","ID=gene-LSM04_000668;Name=LSM04_000668;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_000668",4869
"JAJSEB010000012.1","Genbank","gene",31601,32442,".","+",".","ID=gene-LSM04_005525;Name=LSM04_005525;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_005525",842
"JAJSEB010000012.1","Genbank","gene",32476,33075,".","+",".","ID=gene-LSM04_002508;Name=LSM04_002508;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_002508",600
"JAJSEB010000012.1","Genbank","gene",33432,35138,".","+",".","ID=gene-LSM04_008706;Name=LSM04_008706;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_008706",1707
"JAJSEB010000012.1","Genbank","gene",36095,38263,".","+",".","ID=gene-LSM04_000607;Name=LSM04_000607;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_000607",2169
"JAJSEB010000012.1","Genbank","gene",39477,43778,".","+",".","ID=gene-LSM04_001944;Name=LSM04_001944;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_001944",4302
"JAJSEB010000012.1","Genbank","gene",44732,47443,".","+",".","ID=gene-LSM04_002593;Name=LSM04_002593;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_002593",2712
"JAJSEB010000012.1","Genbank","gene",49023,49439,".","+",".","ID=gene-LSM04_004328;Name=LSM04_004328;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_004328",417
"JAJSEB010000012.1","Genbank","gene",50302,52002,".","+",".","ID=gene-LSM04_000204;Name=LSM04_000204;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_000204",1701
"JAJSEB010000012.1","Genbank","gene",53655,54713,".","+",".","ID=gene-LSM04_000004;Name=LSM04_000004;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_000004",1059
"JAJSEB010000012.1","Genbank","gene",55053,58268,".","+",".","ID=gene-LSM04_006071;Name=LSM04_006071;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_006071",3216
"JAJSEB010000012.1","Genbank","gene",58620,59453,".","+",".","ID=gene-LSM04_005616;Name=LSM04_005616;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_005616",834
"JAJSEB010000012.1","Genbank","gene",60075,63374,".","+",".","ID=gene-LSM04_006172;Name=LSM04_006172;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_006172",3300
